ticket_text,category,template_id
Technic@l 3rror during ch3ckout,Technical,Technical_6
p@yment successful but order missing,Payment,Payment_7
5YSTEM FA1LURE WH1LE 0RDER1NG REALLY FRUSTRATED,Technical,Technical_7
R3fund proc3s5 taking too long,Refund,Refund_5
refund not rece1ved after c@ncellat1on as@p,Refund,Refund_0
unexpected 3rror m355age @ppe@r5 seriously,Technical,Technical_9
System f@ilure while ordering seriously,Technical,Technical_7
r3fund promi5ed but not credit3d,Refund,Refund_2
trans@ction failed @fter p@ym3nt,Payment,Payment_6
H0W TO CHANGE EMA1L ADDRES5,Other,Other_5
PAYM3NT WAS D3DUCTED BUT ORDER FAIL3D,Payment,Payment_0
REFUND 5TATU5 NOT UPDATED,Refund,Refund_9
need help with di5count codes @5ap,Other,Other_0
ch@rg3d for an 0rder that d1d not c0mplete,Payment,Payment_8
SYST3M F@ILUR3 WH1LE ORD3RING REALLY FRUSTRATED,Technical,Technical_7
Page keeps r3fre5h1ng immedi@tely,Technical,Technical_8
support needed f0r gener@l 15sue,Other,Other_9
BANK SHOWS DEBIT BUT NO ORDER CREATED,Payment,Payment_3
application fr3ezes frequently ser1ou5ly,Technical,Technical_1
need help w1th di5c0unt c0d3s,Other,Other_0
supp0rt ne3d3d for g3neral issue,Other,Other_9
5upport n33ded f0r g3n3r@l is5ue urg3nt,Other,Other_9
Account @ccess den1ed need th1s re50lved today,Account,Account_8
app not responding urgent,Technical,Technical_5
PAYM3NT SUCCESSFUL BUT ORDER MISS1NG,Payment,Payment_7
qu3sti0n @bout loyalty p0ints n3ed this resolv3d today,Other,Other_6
5UPPORT NE3D3D FOR GEN3RAL IS5U3 REALLY FRUSTRATED,Other,Other_9
Cann0t @ccess my account not @ scam,Account,Account_1
Refund not rec3ived aft3r canc3llat10n,Refund,Refund_0
Error occur5 while placing order,Technical,Technical_3
HELP NE3DED WITH @CC0UNT SETT1NGS,Other,Other_7
error occurs while placing order asap,Technical,Technical_3
QUERY REG@RDING SUB5CRIPTION PLANS NEED TH15 R3SOLV3D TODAY,Other,Other_4
REFUND M1SSING AFTER RETURN,Refund,Refund_7
p@yment was deduct3d but 0rder failed,Payment,Payment_0
3rr0r occur5 while placing order urgent,Technical,Technical_3
need h3lp with d1scount code5,Other,Other_0
payment succ3ssful but 0rder m1ssing,Payment,Payment_7
@ccount l0cked aft3r login att3mpt,Account,Account_0
Transaction f@iled @fter payment need th1s resolved t0d@y,Payment,Payment_6
p@ge keeps refreshing,Technical,Technical_8
check0ut failed @ft3r @m0unt was deducted,Payment,Payment_9
inquiry ab0ut new feature5 pl3ase help,Other,Other_8
refund delayed beyond expected time,Refund,Refund_8
bank shows debit but no 0rder created,Payment,Payment_3
payment succe5sful but 0rder mis5ing,Payment,Payment_7
P@YMENT W@S DEDUCTED BUT 0RDER F@1LED,Payment,Payment_0
charg3d twice dur1ng checkout,Payment,Payment_1
HOW TO UPDATE PROFILE INFORMATI0N,Other,Other_1
AMOUNT DEBITED BUT TRANS@CT1ON UN5UCCE5SFUL REALLY FRUSTRAT3D,Payment,Payment_2
P@YMENT 5UCCES5FUL BUT ORDER MIS51NG KINDLY CH3CK,Payment,Payment_7
refund d3layed beyond 3xpect3d time,Refund,Refund_8
R3fund still pend1ng @sap,Refund,Refund_3
how to upd@te profile informat1on a5ap,Other,Other_1
refund statu5 not updated,Refund,Refund_9
MONEY TAK3N BUT ORDER N0T CONFIRMED,Payment,Payment_5
no upd@t3 on refund reque5t,Refund,Refund_4
CHARG3D TWICE DUR1NG CHECK0UT,Payment,Payment_1
account locked after l0gin attempt,Account,Account_0
p@yment succ3ssful but order m1s5ing,Payment,Payment_7
Support needed for general is5ue,Other,Other_9
passw0rd re53t not work1ng this is unacc3ptable,Account,Account_6
w3bsite n0t l0@ding properly pl3ase help,Technical,Technical_2
inquiry @bout new featur3s,Other,Other_8
PAYMENT SUCCESSFUL BUT 0RD3R MISSING,Payment,Payment_7
Bank sh0w5 debit but no order cre@t3d pleas3 help,Payment,Payment_3
how t0 chang3 ema1l addr3ss th1s 15 unacc3ptable,Other,Other_5
P@ym3nt compl3ted but app cra5hed s3riously,Payment,Payment_4
login n0t working anymore seriously,Account,Account_3
UNEXPECTED 3RROR ME55AGE APP3ARS THIS IS UNACCEPTABL3,Technical,Technical_9
@pp not re5pond1ng a5ap,Technical,Technical_5
SCREEN GOES BLANK 0N PAYMENT NOT @ SCAM,Technical,Technical_4
Account verificati0n f@iled need th15 r35olved t0day,Account,Account_7
UN@BL3 TO LOG IN @FTER UPDAT3,Account,Account_9
@pplicati0n freez3s frequ3ntly,Technical,Technical_1
APP CR@SHES ON CHECK0UT K1NDLY CHECK,Technical,Technical_0
passw0rd reset not working asap,Account,Account_6
TRAN5ACTI0N FAILED AFT3R PAYM3NT,Payment,Payment_6
HOW T0 CHANG3 EMAIL ADDRESS NOT @ SCAM,Other,Other_5
QUESTION AB0UT L0Y@LTY POINT5,Other,Other_6
REFUND PROCE55 TAKING T0O LONG,Refund,Refund_5
charged for @n 0rder th@t did not c0mpl3te urgent,Payment,Payment_8
HELP NEED3D WITH @CC0UNT SETTINGS,Other,Other_7
R3FUND MISS1NG AFT3R RETURN,Refund,Refund_7
w3bsite not lo@ding pr0perly,Technical,Technical_2
Checkout failed after amount w@s deducted s3riously,Payment,Payment_9
r3fund del@yed beyond 3xpect3d t1me please help,Refund,Refund_8
h0w t0 update profile inf0rmation,Other,Other_1
appl1cation freezes frequently,Technical,Technical_1
@ccount ver1ficat1on f@1led please help,Account,Account_7
Page ke3ps r3freshing,Technical,Technical_8
Help n3eded with @ccount s3ttings this is unacc3pt@ble,Other,Other_7
T3chnical err0r during check0ut,Technical,Technical_6
WEBS1TE NOT LOAD1NG PROPERLY NOT @ 5CAM,Technical,Technical_2
NEED AS51STANCE W1TH OFF3R5,Other,Other_3
screen goes blank on p@yment th15 i5 unacceptable,Technical,Technical_4
Ch@rged for an 0rd3r th@t did not complete ple@se help,Payment,Payment_8
payment succe5sful but 0rder missing,Payment,Payment_7
Need assistance w1th 0ffers this is unaccept@ble,Other,Other_3
Charged twic3 during checkout urg3nt,Payment,Payment_1
Unable to s1gn 1n to account s3riously,Account,Account_4
n3ed @ssist@nce w1th offers imm3diately,Other,Other_3
CHARGED TWICE DURING CH3CKOUT IMMEDI@T3LY,Payment,Payment_1
web5ite not l0ading prop3rly,Technical,Technical_2
ERR0R OCCURS WH1LE PLAC1NG ORDER PL3@SE HELP,Technical,Technical_3
money taken but ord3r not confirmed,Payment,Payment_5
app crash3s on checkout s3riou5ly,Technical,Technical_0
account blocked without re@5on,Account,Account_2
3rror occur5 while pl@c1ng order,Technical,Technical_3
R3fund still pending s3riously,Refund,Refund_3
refund 5till pending th1s i5 unacceptable,Refund,Refund_3
general questi0n @b0ut s3rvic3s,Other,Other_2
error 0ccurs while placing 0rd3r not a scam,Technical,Technical_3
@mount debited but trans@ction unsuccessful need this r3solved today,Payment,Payment_2
quest1on about loyalty po1nt5 kindly ch3ck,Other,Other_6
ACCOUNT ACCE5S DENIED,Account,Account_8
unable to 51gn 1n to account n0t a scam,Account,Account_4
l0gin not working anymore,Account,Account_3
Waiting for refund 51nc3 last we3k ple@se help,Refund,Refund_1
payment completed but app cra5h3d,Payment,Payment_4
@ccount bl0cked without reason,Account,Account_2
R3FUND MISSING @FTER R3TURN ASAP,Refund,Refund_7
WEB5IT3 NOT LOAD1NG PROP3RLY IMMEDIAT3LY,Technical,Technical_2
refund pr0cess taking to0 long 1mmed1ately,Refund,Refund_5
l0g1n not working anym0r3 ple@se help,Account,Account_3
@ccount blocked without reas0n,Account,Account_2
How to update profile 1nform@tion,Other,Other_1
ACC0UNT LOCKED AFTER LOGIN ATT3MPT,Account,Account_0
REFUND PROM1SED BUT NOT CREDITED,Refund,Refund_2
W3bsite not lo@ding pr0p3rly n3ed this r3solved today,Technical,Technical_2
BANK SHOW5 DEB1T BUT NO 0RDER CRE@TED N3ED TH1S R3SOLVED TODAY,Payment,Payment_3
waiting for refund 5inc3 l@st we3k urgent,Refund,Refund_1
HELP NEED3D WITH ACCOUNT SETTINGS,Other,Other_7
ACC0UNT VER1FICATION FAIL3D SERIOU5LY,Account,Account_7
No update 0n r3fund r3quest,Refund,Refund_4
MONEY TAKEN BUT ORDER NOT CONFIRMED REALLY FRU5TRATED,Payment,Payment_5
refund status n0t updat3d need th1s resolved today,Refund,Refund_9
Amount d3bited but trans@ction unsucces5ful,Payment,Payment_2
CHARGED TW1CE DURING CHECKOUT,Payment,Payment_1
password res3t n0t working,Account,Account_6
tr@nsaction f@il3d after payment,Payment,Payment_6
account lock3d aft3r l0gin attempt asap,Account,Account_0
help ne3ded with account 5ett1ng5,Other,Other_7
CHECKOUT FA1LED AFTER @MOUNT WAS DEDUCT3D S3RIOUSLY,Payment,Payment_9
account suspended sudd3nly r3@lly frustr@t3d,Account,Account_5
pas5word reset n0t w0rking,Account,Account_6
am0unt deb1ted but transact1on unsucce5sful,Payment,Payment_2
ACCOUNT BLOCKED WITHOUT RE@SON,Account,Account_2
password reset not working,Account,Account_6
GEN3RAL QUESTION ABOUT S3RV1CES TH15 IS UNACC3PTABLE,Other,Other_2
Payment was deducted but 0rder fail3d 5eriously,Payment,Payment_0
W@iting f0r refund since last we3k,Refund,Refund_1
payment completed but app cr@5hed,Payment,Payment_4
CH@RGED TWICE DURING CHECK0UT N0T A SCAM,Payment,Payment_1
Qu3stion about loyalty p0ints,Other,Other_6
app n0t responding asap,Technical,Technical_5
P@YMENT WAS DEDUCT3D BUT ORDER F@ILED KINDLY CHECK,Payment,Payment_0
cannot acces5 my account,Account,Account_1
need help with discount cod3s thi5 i5 unacc3ptabl3,Other,Other_0
Transact1on fail3d aft3r payment immediat3ly,Payment,Payment_6
w@iting f0r r3fund s1nce last week 5eriously,Refund,Refund_1
applicat10n freezes frequently,Technical,Technical_1
general question ab0ut serv1ce5,Other,Other_2
AM0UNT DEBIT3D BUT TR@NS@CT1ON UNSUCCE5SFUL ASAP,Payment,Payment_2
N3ED @SSI5T@NC3 WITH OFF3RS PLE@5E HELP,Other,Other_3
H3lp n3ed3d with acc0unt 53tt1ngs kindly check,Other,Other_7
@mount debited but transaction unsuccessful th1s 1s unacc3pt@ble,Payment,Payment_2
paym3nt was deduct3d but ord3r failed,Payment,Payment_0
how t0 change 3ma1l addre55 this is un@cc3ptabl3,Other,Other_5
refund not r3ce1v3d aft3r canc3llation ne3d this r35olved today,Refund,Refund_0
b@nk shows debit but no ord3r cr3ated really frustrated,Payment,Payment_3
r3fund proce5s t@king t0o long this 1s unaccept@bl3,Refund,Refund_5
1nquiry about new f3atur3s th1s i5 un@cc3ptable,Other,Other_8
WAITING FOR REFUND S1NCE LA5T WEEK,Refund,Refund_1
W@1TING FOR REFUND S1NC3 LAST WEEK,Refund,Refund_1
r3fund mi55ing aft3r return,Refund,Refund_7
sy5tem f@ilur3 while 0rdering,Technical,Technical_7
refund delayed b3yond 3xpected t1me,Refund,Refund_8
n0 update on refund request seriously,Refund,Refund_4
technic@l error dur1ng checkout as@p,Technical,Technical_6
Unexpected 3rr0r mes5age appears thi5 is unacc3pt@ble,Technical,Technical_9
R3FUND ST@TUS NOT UPDATED N3ED THIS RES0LVED TODAY,Refund,Refund_9
need help with d1sc0unt codes 1mmedi@tely,Other,Other_0
Acc0unt verif1cation failed,Account,Account_7
how to chang3 3mail @ddres5,Other,Other_5
NO UPDATE ON R3FUND R3QUEST 1MMED1ATELY,Refund,Refund_4
T3CHN1CAL ERROR DURING CHECKOUT IMM3D1ATELY,Technical,Technical_6
Trans@ction fail3d @fter p@yment,Payment,Payment_6
CANN0T @CCE5S MY ACC0UNT IMMED1ATELY,Account,Account_1
money not refunded y3t,Refund,Refund_6
5upport need3d f0r general 1ssue r3ally frustrated,Other,Other_9
5ystem fa1lure while ordering,Technical,Technical_7
NE3D HELP WITH DI5COUNT CODE5,Other,Other_0
account verif1cation fa1led,Account,Account_7
refund n0t received after cancellation this is unacceptabl3,Refund,Refund_0
UN@BLE TO S1GN IN TO ACC0UNT,Account,Account_4
no update 0n r3fund requ3st not a scam,Refund,Refund_4
check0ut failed after am0unt was deducted,Payment,Payment_9
refund pr0cess t@king too long,Refund,Refund_5
TECHNICAL ERROR DUR1NG CH3CK0UT,Technical,Technical_6
QUESTI0N ABOUT L0YALTY PO1NT5 NEED THIS R3SOLVED TOD@Y,Other,Other_6
Ch@rg3d for an order that d1d not compl3te not a 5cam,Payment,Payment_8
unable to sign in t0 @ccount r3@lly frustrated,Account,Account_4
mon3y not refund3d yet,Refund,Refund_6
mon3y not refund3d yet,Refund,Refund_6
refund status not upd@ted ne3d this r35olved t0day,Refund,Refund_9
Account blocked without r3ason,Account,Account_2
payment succ3s5ful but order mis5ing this is un@cceptabl3,Payment,Payment_7
help ne3ded w1th account settings,Other,Other_7
@pp not re5ponding,Technical,Technical_5
@CCOUNT 5U5PENDED SUDDENLY,Account,Account_5
w@iting for refund since last w3ek,Refund,Refund_1
appl1cati0n freezes frequently,Technical,Technical_1
un@ble to log in aft3r update this is unaccept@bl3,Account,Account_9
Account suspended suddenly pl3ase h3lp,Account,Account_5
App not responding thi5 is unaccept@bl3,Technical,Technical_5
un3xpect3d error me55age appears immediately,Technical,Technical_9
@ccount blocked without re@50n,Account,Account_2
APP N0T R35PONDING,Technical,Technical_5
Login not work1ng anym0re,Account,Account_3
Page k3ep5 r3freshing 1mm3diately,Technical,Technical_8
ACCOUNT VERIFIC@TION FAILED IMMEDIAT3LY,Account,Account_7
Bank show5 deb1t but no order cr3at3d n0t a scam,Payment,Payment_3
refund status not upd@ted not a scam,Refund,Refund_9
r3fund 5till p3nding,Refund,Refund_3
technical 3rr0r during checkout really fru5tr@ted,Technical,Technical_6
unable to s1gn in t0 @ccount,Account,Account_4
NE3D ASSI5TANCE W1TH OFFERS RE@LLY FRUSTRATED,Other,Other_3
acc0unt acce55 deni3d imm3di@t3ly,Account,Account_8
Money t@ken but order not confirmed 53r1ously,Payment,Payment_5
w@it1ng for refund 5inc3 last week,Refund,Refund_1
CH@RGED FOR AN 0RD3R THAT DID NOT C0MPL3TE ASAP,Payment,Payment_8
NEED ASSISTANCE WITH 0FF3RS,Other,Other_3
payment w@s deducted but order f@1led,Payment,Payment_0
techn1cal error during ch3ckout,Technical,Technical_6
SCREEN G0E5 BL@NK ON PAYMENT NOT @ SCAM,Technical,Technical_4
3rr0r occurs while plac1ng order,Technical,Technical_3
