text,category
WEBSITE NOT LOADING PROPERLY,Technical
CHARGED TWICE FOR THE SAME ORDERPLEASE HELP,Payment
error occurs while placing order,Technical
waiting for refund since last weektoday,Refund
WAITING FOR REFUND SINCE LAST WEEK,Refund
application freezes repeatedlyplease help,Technical
scr33n go3s blank wh3n I op3n app,Technical
no update on my refund request,Refund
payment successful but no order createdseriously,Payment
g3n3ral qu3ry ab0ut 53rvic35thi5 i5 unacc3ptabl3,Other
charged twice for the same orderthis is unacceptable,Payment
refund pending for too long,Refund
how to update profile details,Other
payment deducted but 0rder failed,Payment
error occurs while placing order,Technical
screen goes blank when I open app,Technical
question regarding subscriptionthis is unacceptable,Other
CHARGED TWICE FOR THE SAME ORDERURGENT,Payment
3rr0r 0ccur5 wh1l3 pl@c1ng 0rd3r,Technical
general query about servicesthis is unacceptable,Other
need assistance with offers,Other
QUESTION REGARDING SUBSCRIPTION,Other
cannot access my account,Account
WEBSITE NOT LOADING PROPERLY,Technical
PAYMENT SUCCESSFUL BUT NO ORDER CREATEDURGENT,Payment
QU3ST1ON R3GARD1NG SUBSCR1PT1ON,Other
NEED ASSISTANCE WITH OFFERSPLEASE HELP,Other
unabl3 to sign in to my account,Account
REFUND PROMISED BUT NOT CREDITED,Refund
website n0t l0ading pr0perly,Technical
qu3stion r3garding subscriptiontoday,Other
APPLICATION FREEZES REPEATEDLY,Technical
GENERAL QUERY ABOUT SERVICES,Other
waiting for refund since last weekreally frustrated,Refund
payment successful but no order creatednot a scam,Payment
screen goes blank when I open app,Technical
need help with discount codeskindly check,Other
payment successful but no order createdplease help,Payment
cannot access my accounttoday,Account
charged tw1ce f0r the same 0rder,Payment
SCREEN GOES BLANK WHEN I OPEN APPIMMEDIATELY,Technical
PAYMENT SUCCESSFUL BUT NO ORDER CREATEDREALLY FRUSTRATED,Payment
need help with discount codesplease help,Other
NO UPDATE ON MY REFUND REQUESTKINDLY CHECK,Refund
MONEY TAKEN BUT CHECKOUT CRASHED,Payment
money taken but checkout crashed,Payment
P@YMENT DEDUCTED BUT 0RDER F@ILEDTHIS IS UN@CCEPT@BLE,Payment
charged twice for the same order,Payment
general query about 5ervice5today,Other
payment successful but no order created,Payment
P@YMENT SUCCESSFUL BUT N0 0RDER CRE@TEDRE@LLY FRUSTR@TED,Payment
refund promised but not creditedthis is unacceptable,Refund
REFUND PROMISED BUT NOT CREDITED,Refund
HOW TO UPD@TE PROF1LE DET@1LS,Other
REFUND NOT RECEIVEDIMMEDIATELY,Refund
payment deducted but order failedimmediately,Payment
r3fund pr0m1s3d but n0t cr3d1t3d,Refund
PAYM3NT SUCC3SSFUL BUT NO ORD3R CR3AT3D,Payment
unabl3 t0 s1gn 1n t0 my acc0unt,Account
payment successful but no order created,Payment
need a55i5tance with offer5now,Other
LOGIN NOT WORKING ANYMOREASAP,Account
website not loading properlyreally frustrated,Technical
QUE5TION REG@RDING 5UB5CRIPTIONTHI5 I5 UN@CCEPT@BLE,Other
amount debited but transaction unsuccessfulurgent,Payment
charged twice for the same orderurgent,Payment
general query about 5ervice55eriou5ly,Other
paym3nt 5ucc355ful but no ord3r cr3at3d53r1ou5ly,Payment
login not working anymoreplease help,Account
@pplic@tion freezes repe@tedlyimmedi@tely,Technical
screen goes blank when I open appasap,Technical
w3b51t3 not load1ng prop3rly,Technical
login not working anymore,Account
MY ACCOUNT GOT BLOCKED SUDDENLYTODAY,Account
APP CRA5H35 ON CH3CKOUT,Technical
APPLICATION FREEZES REPEATEDLYKINDLY CHECK,Technical
LOGIN NOT WORKING ANYMORE,Account
money taken but checkout crashed,Payment
n33d @ss1st@nc3 w1th off3rspl3@s3 h3lp,Other
how to update profile detailstoday,Other
refund pend1ng for too longser1ously,Refund
m0ney t@ken but check0ut cr@shedkindly check,Payment
general query about 5ervice5thi5 i5 unacceptable,Other
refund not received,Refund
app crashes on checkout,Technical
payment deducted but order failedimmediately,Payment
r3fund p3nd1ng f0r t00 l0ngasap,Refund
need assistance with offers,Other
APPLICATI0N FREEZES REPEATEDLYIMMEDIATELY,Technical
account lock3d aft3r login,Account
screen g0es blank when I 0pen app,Technical
need assistance with offers,Other
application freezes repeatedly,Technical
app crashes on checkoutnow,Technical
quest1on regard1ng subscr1pt1on,Other
APPLICATION FREEZES REPEATEDLY,Technical
ch@rged twice for the s@me order,Payment
MONEY TAKEN BUT CHECKOUT CRASHEDTODAY,Payment
need help with discount codes,Other
MON3Y T@K3N BUT CH3CKOUT CR@5H3D,Payment
my account got blocked suddenly,Account
NEED HELP WITH DI5C0UNT C0DE5KINDLY CHECK,Other
money taken but checkout crashedurgent,Payment
ERROR OCCURS WHILE PLACING ORDER,Technical
WEBSITE NOT LOADING PROPERLY,Technical
ch@rged tw1ce for the s@me order@s@p,Payment
